,Logistic classify L2,MIC,Corr.,RF,Stability,Logistic classify L1,RFE,Mean
splt_13_1,0.13,0,0,0,0.03,0.04,0.45,0.09
splt_13_10,0.01,0.01,0.01,0,0,0,0.48,0.07
splt_13_11,0.01,0,0,0,0,0,0.34,0.05
splt_13_12,0,0,0,0,0,0,0.38,0.05
splt_13_13,0.06,0,0,0,0,0.01,0.42,0.07
splt_13_14,0.01,0,0,0,0,0,0.42,0.06
splt_13_15,0,0,0,0,0,0,0.3,0.04
splt_13_16,0,0,0,0,0,0,0.33,0.05
splt_13_17,0,0,0,0,0,0,0.41,0.06
splt_13_18,0.04,0.01,0,0,0,0.01,0.53,0.08
splt_13_19,0.01,0.01,0.01,0,0,0,0.41,0.06
splt_13_2,0.03,0,0,0,0,0,0.43,0.07
splt_13_3,0.11,0.01,0,0,0.01,0.03,0.43,0.08
splt_13_4,0.13,0.01,0,0,0.02,0.02,0.38,0.08
splt_13_5,0.01,0,0,0,0,0,0.34,0.05
splt_13_6,0.1,0,0,0,0.02,0.02,0.44,0.08
splt_13_7,0.03,0,0,0,0,0,0.48,0.07
splt_13_8,0.01,0,0,0,0,0,0.3,0.04
splt_13_9,0,0,0,0,0,0,0.35,0.05
splt_14_0,0.02,0.01,0,0,0.01,0.01,0.47,0.07
splt_14_1,0.06,0,0,0,0,0,0.44,0.07
splt_14_10,0.01,0,0,0,0,0,0.48,0.07
splt_14_11,0.01,0,0,0,0,0,0.36,0.05
splt_14_12,0,0,0,0,0,0,0.4,0.06
splt_14_13,0.01,0,0,0,0,0,0.39,0.06
splt_14_14,0.02,0,0,0,0,0.08,0.25,0.05
splt_14_15,0,0,0,0,0,0,0.37,0.05
splt_14_16,0,0,0,0,0,0,0.37,0.05
splt_14_17,0,0,,0,0,0,0.44,
splt_14_18,0.04,0.01,0,0,0,0.01,0.51,0.08
splt_14_19,0.02,0.01,0.02,0,0,0,0.38,0.06
splt_14_2,0.03,0,0,0,0,0,0.29,0.05
splt_14_3,0.04,0.01,0,0,0,0.01,0.48,0.08
